MOM	NINO12	NINO12A	NINO3	NINO3A	NINO4	NINO4A	NINO34	NINO34A	CHEIA	CHEIAA	TEMPMINM	TEMPMINMA	TEMPMAXM	TEMPMAXMA	PRECACUM	PRECACUMA
8/2003	21.03	-0.08	25.46	0.22	29.08	0.32	27.18	0.22	2692		23,406452		33,112903		118.3	
9/2003	20.46	-0.40	25.16	0.09	29.13	0.35	27.10	0.23	2422		23,746667		33,896667		60.9	
10/2003	21.25	0.08	25.46	0.34	29.29	0.52	27.26	0.43	2018		24,745161		34,222581		96.9	
11/2003	21.89	0.04	25.83	0.64	29.24	0.54	27.20	0.42	1919		24,2		33,536667		119.6	
12/2003	23.08	-0.00	26.04	0.68	29.10	0.53	27.10	0.38	1916		24,219355		33,506667		89.9	
1/2004	24.75	0.04	26.20	0.41	28.85	0.50	26.95	0.24	2091		24,170968		32,122581		179.6	
2/2004	26.39	0.21	26.84	0.30	28.66	0.46	27.06	0.19	2213		23,662069		31,393103		150.6	
3/2004	25.88	-0.69	27.45	0.16	28.57	0.25	27.45	0.09	2282		23,458065		30,954839		424.2	
4/2004	25.46	-0.21	27.69	0.07	28.76	0.18	28.00	0.15	2493		23,59		31,836667		227.2	
5/2004	23.71	-0.77	27.07	-0.22	29.14	0.26	28.13	0.17	2643		23,641935		31,158065		422.9	
6/2004	22.55	-0.60	26.54	-0.09	29.22	0.33	27.93	0.20	2705		23,113333		31,72		120.2	
7/2004	21.11	-0.94	25.98	0.17	29.33	0.49	27.90	0.59	2648		23,151613		32,609677		59.6	
8/2004	20.55	-0.56	25.47	0.24	29.37	0.60	27.70	0.74	2526		23,303226		33,212903		141.3	
9/2004	20.70	-0.16	25.41	0.34	29.54	0.75	27.65	0.78	2281		23,616667		33,47		112.00	
10/2004	21.31	0.14	25.57	0.45	29.58	0.81	27.57	0.74	2030		24,125806		33,629032		66.00	
11/2004	22.43	0.59	25.78	0.59	29.56	0.86	27.49	0.71	1938		24,683333		34,69		13.3	
12/2004	23.46	0.38	26.01	0.65	29.51	0.93	27.46	0.74	2031		23,580645		32,829032		140.00	
1/2005	24.86	0.14	26.18	0.38	29.28	0.93	27.39	0.68	2151		23,974194		33,196774		165.7	
2/2005	25.49	-0.69	26.57	0.02	28.95	0.74	27.33	0.45	2246		23,821429		31,657143		331.5	
3/2005	25.72	-0.84	27.44	0.15	29.00	0.68	27.89	0.53	2493		23,709677		31,196774		334.00	
4/2005	25.43	-0.24	27.86	0.25	29.07	0.49	28.24	0.39	2653		23,836667		31,473333		404.8	
5/2005	24.28	-0.19	27.65	0.36	29.25	0.36	28.41	0.45	2779		24,032258		32,248387		225.5	
6/2005	22.56	-0.59	26.89	0.26	29.18	0.29	27.96	0.24	2789		23,973333		33,003333		53.5	
7/2005	21.67	-0.38	26.03	0.21	28.89	0.05	27.22	-0.09	2662		23,506452		32,945161		52.4	
8/2005	20.64	-0.47	25.42	0.19	28.93	0.17	27.02	0.06	2344		24		34,883871		16.2	
9/2005	20.10	-0.76	24.96	-0.12	29.01	0.22	26.90	0.03	1861		24,07		34,986667		45.9	
10/2005	20.06	-1.10	24.87	-0.24	29.02	0.24	26.81	-0.02	1542		24,548387		35,203226		75.2	
11/2005	20.81	-1.03	24.30	-0.89	28.69	-0.01	26.34	-0.43	1710		23,873333		33,746667		211.6	
12/2005	22.33	-0.75	24.32	-1.04	28.36	-0.22	26.01	-0.71	1980		23,432258		31,441935		291.8	
1/2006	24.54	-0.17	25.03	-0.77	27.94	-0.41	25.91	-0.80	2238		23,545161		32,335484		173.3	
2/2006	26.40	0.22	26.38	-0.16	27.65	-0.56	26.32	-0.56	2477		23,439286		31,085714		346.4	
3/2006	26.43	-0.14	27.06	-0.23	27.89	-0.43	26.83	-0.53	2619		23,7		31,535484		265.3	
4/2006	24.68	-0.99	27.44	-0.17	28.42	-0.16	27.67	-0.17	2680		23,53		31,193333		252.1	
5/2006	24.18	-0.29	27.35	0.06	28.96	0.07	27.96	-0.00	2803		23,493548		30,674194		382.1	
6/2006	22.98	-0.17	26.73	0.10	29.21	0.31	27.85	0.12	2874		23,243333		32,636667		87.00	
7/2006	22.05	-0.00	25.87	0.05	29.20	0.36	27.42	0.11	2782		23,403226		33,141935		71.6	
8/2006	21.77	0.66	25.62	0.39	29.25	0.49	27.30	0.34	2545		23,793548		34,36129		16.7	
9/2006	21.71	0.85	25.85	0.77	29.44	0.65	27.45	0.58	2132		23,953333		35,153333		32.8	
10/2006	22.07	0.90	26.05	0.93	29.48	0.70	27.53	0.70	1751		24,909677		35,393548		66.00	
11/2006	22.47	0.63	26.33	1.14	29.59	0.88	27.79	1.01	1766		23,376667		32,526667		294.00	
12/2006	23.69	0.61	26.50	1.14	29.46	0.89	27.81	1.09	2048		23,632258		32,887097		317.4	
1/2007	25.34	0.62	26.65	0.85	29.04	0.69	27.44	0.73	2235		23,270968		30,7		414.4	
2/2007	26.38	0.20	26.66	0.12	28.77	0.56	27.09	0.21	2345		24,228571		33,228571		137.7	
3/2007	26.32	-0.25	27.07	-0.22	28.81	0.49	27.37	0.01	2361		23,067742		31,254839		336.00	
4/2007	24.90	-0.77	27.23	-0.38	28.88	0.29	27.70	-0.15	2519		23,663333		31,3		343.1	
5/2007	23.28	-1.19	26.67	-0.62	29.04	0.15	27.71	-0.25	2710		23,832258		31,883871		165.3	
6/2007	21.82	-1.33	26.11	-0.52	29.00	0.11	27.58	-0.15	2806		23,286667		32,706667		100.2	
7/2007	21.24	-0.81	25.21	-0.60	28.89	0.04	27.00	-0.31	2778		23,490323		33,006452		121.9	
8/2007	20.20	-0.91	24.31	-0.92	28.65	-0.11	26.45	-0.51	2608		23,206452		32,996774		133.3	
9/2007	20.08	-0.78	24.01	-1.06	28.38	-0.41	26.01	-0.86	2178		23,746667		33,513333		71.7	
10/2007	19.69	-1.48	24.00	-1.11	28.23	-0.54	25.74	-1.09	1827		24,36129		34,435484		28.5	
11/2007	20.19	-1.66	23.99	-1.20	28.00	-0.71	25.58	-1.19	1860		24,32		33,91		226.2	
12/2007	21.63	-1.45	24.11	-1.25	27.81	-0.77	25.49	-1.24	2045		23,193548		31,596774		327.9	
1/2008	24.31	-0.40	24.55	-1.25	27.28	-1.07	25.21	-1.50	2275		23,293548		30,629032		397.4	
2/2008	26.45	0.27	25.51	-1.04	26.94	-1.26	25.41	-1.47	2435		23,141379		31,031034		298.8	
3/2008	26.87	0.31	26.69	-0.60	27.30	-1.02	26.27	-1.09	2572		22,777419		30,435484		553.00	
4/2008	25.69	0.01	27.28	-0.34	27.76	-0.83	26.99	-0.86	2668		23,353333		31,756667		345.4	
5/2008	24.46	-0.02	27.09	-0.20	28.09	-0.79	27.25	-0.71	2755		23,412903		30,651613		264.1	
6/2008	23.22	0.07	26.51	-0.12	28.12	-0.78	27.20	-0.53	2848		23,076667		31,706667		202.7	
7/2008	22.81	0.77	26.04	0.23	28.16	-0.69	27.05	-0.26	2804		23,467742		33,558065		80.2	
8/2008	21.86	0.76	25.61	0.38	28.19	-0.58	26.80	-0.16	2614		23,912903		34,351613		58.4	
9/2008	21.43	0.57	25.34	0.26	28.25	-0.54	26.63	-0.24	2220		23,88		33,29		56.00	
10/2008	21.23	0.06	25.29	0.17	28.31	-0.46	26.54	-0.29	1903		23,776667		32,746667		162.2	
11/2008	21.66	-0.19	25.14	-0.05	28.16	-0.54	26.42	-0.36	1900		23,693333		32,413333		280.8	
12/2008	22.90	-0.19	24.92	-0.43	27.96	-0.62	25.98	-0.75	2097		23,470968		31,948387		458.1	
1/2009	24.71	-0.01	25.32	-0.48	27.64	-0.70	25.80	-0.91	2353		23,132258		30,625806		310.8	
2/2009	25.84	-0.34	26.17	-0.38	27.63	-0.58	26.18	-0.70	2563		23,275		30,407143		457.9	
3/2009	26.10	-0.47	26.90	-0.38	27.98	-0.34	26.96	-0.40	2680		23,503226		31,077419		232.5	
4/2009	26.07	0.39	27.60	-0.01	28.56	-0.03	27.78	-0.07	2815		23,896667		31,773333		222.1	
5/2009	24.89	0.42	27.63	0.34	29.01	0.12	28.16	0.20	2899		23,922581		30,983871		114.00	
6/2009	23.92	0.77	27.23	0.60	29.23	0.34	28.15	0.42	2946		23,96		31,176667		165.8	
7/2009	22.98	0.94	26.52	0.71	29.25	0.41	27.86	0.55	2949		24,229032		33,064516		25.1	
8/2009	21.74	0.63	26.00	0.77	29.33	0.57	27.51	0.55	2797		25,351613		34,741935		5.4	
9/2009	21.17	0.31	25.77	0.70	29.50	0.72	27.50	0.63	2469		25,47		35,613333		4.2	
10/2009	21.21	0.04	25.84	0.72	29.78	1.00	27.76	0.93	1918		25,587097		35,348387		26.00	
11/2009	21.92	0.07	26.15	0.96	29.87	1.17	28.11	1.34	1718		25,906667		35,373333		132.3	
12/2009	23.15	0.06	26.36	1.00	29.72	1.15	28.15	1.43	1758		24,822581		32,180645		262.4	
1/2010	24.75	0.03	26.64	0.84	29.39	1.05	27.97	1.26	2114		24,5		31,951613		295.8	
2/2010	26.35	0.18	27.32	0.77	29.07	0.87	28.00	1.12	2249		24,839286		31,821429		352.5	
3/2010	26.70	0.13	27.87	0.58	29.14	0.82	28.24	0.89	2356		25,090323		33,480645		206.4	
4/2010	26.04	0.36	28.03	0.42	29.29	0.71	28.35	0.51	2523		24,32		31,503333		303.4	
5/2010	24.79	0.31	27.35	0.06	29.23	0.34	27.97	0.01	2735		24,774194		32,306452		165.1	
6/2010	23.18	0.03	26.22	-0.41	28.85	-0.04	27.28	-0.45	2788		24,266667		32,456667		119.1	
7/2010	21.22	-0.82	25.12	-0.69	28.34	-0.50	26.52	-0.79	2709		23,925806		32,374194		100.6	
8/2010	19.82	-1.29	24.34	-0.90	27.78	-0.98	25.80	-1.16	2460		24,358065		34,032258		54.8	
9/2010	19.60	-1.26	24.02	-1.06	27.60	-1.18	25.45	-1.42	2089		24,973333		35,266667		26.6	
10/2010	19.92	-1.24	24.03	-1.08	27.54	-1.23	25.46	-1.37	1494		24,567742		35,025806		116.9	
11/2010	20.53	-1.32	24.04	-1.15	27.54	-1.16	25.46	-1.32	1477		24,39		33,406897		140.6	
12/2010	22.24	-0.85	24.30	-1.06	27.47	-1.10	25.37	-1.35	1768		23,529032		32,403226		290.1	
1/2011	24.66	-0.05	24.66	-1.13	27.32	-1.03	25.24	-1.47	1952		23,545161		30,874194		226.8	
2/2011	26.29	0.11	25.86	-0.68	27.54	-0.66	25.82	-1.06	2177		23,307143		30,814286		493.3	
3/2011	25.93	-0.64	26.71	-0.58	27.94	-0.38	26.59	-0.77	2399		23,974194		31,16129		323.3	
4/2011	25.45	-0.22	27.42	-0.20	28.26	-0.33	27.29	-0.56	2577		23,683333		30,993333		515.9	
5/2011	24.52	0.05	27.06	-0.23	28.62	-0.26	27.62	-0.34	2755		24,674194		31,336667		222.4	
6/2011	23.49	0.34	26.65	0.03	28.68	-0.21	27.60	-0.13	2853		24,91		32,666667		121.3	
7/2011	22.08	0.04	25.74	-0.07	28.59	-0.25	27.10	-0.20	2822		24,941935		33,325806		20.2	
8/2011	20.69	-0.42	24.91	-0.32	28.31	-0.45	26.44	-0.52	2630		25,267742		34,796774		64.3	
9/2011	20.10	-0.76	24.50	-0.58	28.09	-0.70	26.08	-0.80	2088		24,876667		34,47		41.5	
10/2011	20.42	-0.75	24.23	-0.89	28.11	-0.67	25.97	-0.86	1722		24,964516		33,596774		283.7	
11/2011	21.05	-0.80	24.32	-0.87	27.96	-0.74	25.86	-0.91	1757		24,783333		32,81		272.8	
12/2011	22.04	-1.04	24.61	-0.75	27.78	-0.80	25.87	-0.85	1920		24,741935		32,683871		194.5	
1/2012	24.13	-0.58	25.38	-0.42	27.60	-0.75	25.93	-0.77	2230		23,890323		31,112903		365.2	
2/2012	26.32	0.15	26.41	-0.13	27.66	-0.54	26.28	-0.60	2515		23,906897		30,693103		288.7	
