MOM	NINO12	NINO12A	NINO3	NINO3A	NINO4	NINO4A	NINO34	NINO34A	CHEIA	CHEIAA	TEMPMINM	TEMPMINMA	TEMPMAXM	TEMPMAXMA	PRECACUM	PRECACUMA
1/1961	24.59	-0.13	25.15	-0.64	28.04	-0.31	26.35	-0.36	2123		22,693548		30,516129		285.9	
2/1961	26.46	0.28	26.24	-0.30	27.94	-0.26	26.51	-0.37	2253		22,064286		30,010714		332.3	
3/1961	25.88	-0.68	26.85	-0.44	27.91	-0.41	26.90	-0.46	2296		23,032258		30,990323		237.6	
4/1961	25.04	-0.63	27.45	-0.16	28.03	-0.56	27.36	-0.49	2429		22,93		31,193333		353.00	
5/1961	23.68	-0.79	27.08	-0.21	28.39	-0.50	27.72	-0.24	2564		22,822581		30,919355		327.5	
6/1961	22.20	-0.95	26.42	-0.21	28.71	-0.19	27.72	-0.01	2672		22,253333		30,84		98.2	
7/1961	20.73	-1.32	25.05	-0.77	28.34	-0.50	27.08	-0.23	2709		21,780645		32,351613		33.00	
8/1961	20.02	-1.09	24.27	-0.96	28.14	-0.62	26.29	-0.67	2607		22,387097		34,470968		6.9	
9/1961	19.73	-1.13	23.74	-1.34	28.18	-0.61	25.96	-0.91	2142		22,576667		34,196667		51.7	
10/1961	20.26	-0.91	23.88	-1.24	27.96	-0.81	25.87	-0.96	1645		22,477419		31,835484		123.00	
11/1961	21.37	-0.48	24.43	-0.76	28.15	-0.56	26.15	-0.63	1803		22,396667		32,576667		145.9	
12/1961	22.42	-0.66	24.70	-0.66	28.10	-0.47	26.15	-0.58	1962		22,309677		30,503226		353.1	
1/1962	24.22	-0.49	25.25	-0.55	27.75	-0.60	26.15	-0.56	2159		22,412903		31,006452		406.1	
2/1962	25.29	-0.88	26.03	-0.51	27.69	-0.51	26.28	-0.60	2285		22,514286		30,321429		399.4	
3/1962	24.65	-1.92	26.57	-0.71	27.97	-0.34	26.81	-0.55	2419		22,574194		30,635484		307.9	
4/1962	23.70	-1.97	26.67	-0.94	28.21	-0.37	27.22	-0.63	2585		22,886667		30,116667		299.00	
5/1962	23.20	-1.27	26.33	-0.96	28.31	-0.57	27.20	-0.76	2718		22,751613		30,567742		260.5	
6/1962	21.97	-1.18	25.84	-0.79	28.45	-0.45	27.19	-0.54	2811		21,94		30,82		108.5	
7/1962	20.91	-1.14	25.17	-0.64	28.26	-0.58	26.87	-0.44	2822		22,283871		31,687097		47.3	
8/1962	20.24	-0.87	24.73	-0.50	28.10	-0.67	26.40	-0.56	2720		22,006452		33,080645		34.00	
9/1962	20.12	-0.74	24.20	-0.87	28.11	-0.67	26.01	-0.86	2393		22,973333		34,593333		12.8	
10/1962	20.18	-0.99	24.27	-0.85	28.10	-0.68	26.11	-0.72	1828		23,312903		33,6		125.4	
11/1962	20.94	-0.91	24.13	-1.06	28.10	-0.60	25.87	-0.91	1825		23,096667		31,936667		107.6	
12/1962	21.91	-1.18	24.21	-1.15	27.90	-0.67	25.82	-0.90	1904		23,245161		31,877419		132.00	
1/1963	23.98	-0.74	24.93	-0.86	27.69	-0.66	25.94	-0.77	1786		22,316129		30,529032		265.1	
2/1963	25.48	-0.70	25.81	-0.73	27.69	-0.51	26.31	-0.57	1970		22,414286		30,107143		182.2	
3/1963	25.83	-0.73	26.92	-0.37	28.04	-0.28	27.15	-0.21	2254		22,6		30,296774		239.5	
4/1963	24.34	-1.33	27.52	-0.09	28.34	-0.25	27.76	-0.09	2480		22,806667		30,67		313.3	
5/1963	23.89	-0.59	27.02	-0.27	28.53	-0.35	27.59	-0.37	2648		22,929032		31,248387		243.3	
6/1963	22.46	-0.69	26.66	0.03	28.44	-0.46	27.62	-0.11	2722		22,536667		31,323333		122.4	
7/1963	21.73	-0.32	26.28	0.47	28.63	-0.22	27.78	0.48	2662		22,319355		32,551613		46.7	
8/1963	21.18	0.08	25.70	0.47	28.83	0.07	27.48	0.52	2380		23,041935		34,290323		5.4	
9/1963	20.88	0.02	25.42	0.35	29.07	0.28	27.44	0.57	1892		23,816667		35,123333		45.3	
10/1963	20.99	-0.18	25.50	0.38	29.14	0.37	27.46	0.63	1450		24,145161		34,712903		84.3	
11/1963	21.32	-0.52	25.67	0.48	28.91	0.21	27.43	0.65	1515		22,99		31,916667		239.6	
12/1963	22.41	-0.67	25.96	0.60	28.66	0.08	27.56	0.84	1776		23,419355		31,154839		184.3	
1/1964	23.94	-0.77	26.01	0.21	28.57	0.22	27.33	0.62	1979		23,851613		31,580645		159.00	
2/1964	24.93	-1.25	26.34	-0.20	28.30	0.09	27.21	0.33	1867		23,613793		31,055172		140.3	
3/1964	25.11	-1.46	26.73	-0.56	28.00	-0.32	27.05	-0.31	1955		23,029032		30,793548		426.00	
4/1964	24.47	-1.20	26.39	-1.22	28.28	-0.31	27.05	-0.79	2257		23,006667		31,01		295.3	
5/1964	22.20	-2.27	25.69	-1.60	28.48	-0.40	27.01	-0.95	2482		23,080645		30,254839		268.1	
6/1964	21.43	-1.71	25.19	-1.44	28.21	-0.69	26.67	-1.06	2562		22,583333		31,203333		125.9	
7/1964	20.20	-1.84	24.75	-1.07	27.96	-0.89	26.28	-1.02	2577		22,229032		31,970968		61.6	
8/1964	19.58	-1.53	23.70	-1.54	27.66	-1.11	25.73	-1.23	2461		22,787097		33,36129		92.6	
9/1964	19.71	-1.15	23.93	-1.14	27.29	-1.50	25.51	-1.36	2242		22,92		33,553333		40.7	
10/1964	19.68	-1.49	23.94	-1.18	27.39	-1.39	25.54	-1.29	2035		22,954839		33,106452		135.2	
11/1964	20.91	-0.93	24.05	-1.14	27.23	-1.47	25.43	-1.34	1907		23,046667		32,633333		231.00	
12/1964	21.72	-1.37	23.86	-1.50	27.27	-1.30	25.42	-1.31	1921		22,654839		30,709677		312.2	
1/1965	23.89	-0.83	24.76	-1.03	27.58	-0.77	25.78	-0.93	1945		22,948387		30,496774		169.5	
2/1965	25.84	-0.33	25.94	-0.60	27.72	-0.49	26.33	-0.55	2060		22,803571		30,7		247.7	
3/1965	26.35	-0.22	26.94	-0.35	27.90	-0.42	26.98	-0.38	2128		22,9		29,548387		532.5	
4/1965	26.48	0.80	27.49	-0.13	28.00	-0.58	27.49	-0.36	2409		23,006667		30,036667		284.2	
5/1965	25.74	1.27	27.56	0.26	28.66	-0.23	27.97	0.01	2579		23,016129		30,145161		268.9	
6/1965	24.17	1.02	27.12	0.49	28.98	0.09	28.09	0.37	2652		22,786667		31,353333		64.2	
7/1965	22.98	0.94	26.48	0.67	28.93	0.09	27.94	0.63	2605		22,564516		32,093548		45.7	
8/1965	22.23	1.12	26.09	0.86	29.05	0.28	27.88	0.92	2450		23,003226		33,674194		3.4	
9/1965	21.10	0.24	25.92	0.84	29.01	0.22	27.92	1.05	2093		24,096667		34,726667		13.6	
10/1965	21.31	0.14	26.13	1.01	29.24	0.47	28.14	1.31	1781		24,551613		34,351613		138.6	
11/1965	21.92	0.07	26.31	1.12	29.20	0.50	28.06	1.29	1686		24,18		32,28		76.8	
12/1965	23.11	0.03	26.42	1.06	29.01	0.43	27.90	1.17	1965		23,903226		31,641935		196.00	
1/1966	25.00	0.29	26.59	0.79	28.74	0.40	27.66	0.95	2081		23,667742		30,564516		273.3	
2/1966	25.80	-0.37	26.82	0.27	28.70	0.49	27.53	0.65	2208		23,689286		30,964286		178.1	
3/1966	25.39	-1.17	27.21	-0.07	29.07	0.75	28.10	0.74	2297		23,374194		30,809677		172.9	
4/1966	24.44	-1.23	27.41	-0.20	28.80	0.21	28.14	0.29	2410		23,53		30,866667		292.6	
5/1966	23.07	-1.40	26.40	-0.89	28.97	0.09	27.66	-0.30	2523		23,374194		30,696774		359.1	
6/1966	21.79	-1.36	26.01	-0.62	29.05	0.15	27.75	0.02	2626		23,18		31,27		161.6	
7/1966	20.78	-1.27	25.37	-0.44	29.01	0.17	27.27	-0.04	2558		23,180645		31,929032		122.2	
8/1966	20.09	-1.02	24.52	-0.71	28.65	-0.11	26.57	-0.39	2349		22,851613		32,651613		110.4	
9/1966	19.88	-0.98	24.21	-0.86	28.70	-0.08	26.45	-0.43	2031		23,07		32,423333		103.4	
10/1966	20.49	-0.67	24.41	-0.70	28.66	-0.11	26.41	-0.42	1776		23,670968		34,103226		29.5	
11/1966	21.00	-0.85	24.32	-0.87	28.68	-0.02	26.39	-0.39	1704		23,33		31,633333		318.5	
12/1966	22.41	-0.68	24.29	-1.07	28.38	-0.20	26.16	-0.56	1851		23,332258		31,13871		222.3	
1/1967	23.78	-0.93	25.08	-0.72	27.63	-0.72	26.05	-0.66	2088		22,96129		29,535484		301.6	
2/1967	25.59	-0.58	26.09	-0.45	27.42	-0.79	26.22	-0.66	2390		23,010714		29,903571		249.2	
3/1967	25.37	-1.19	26.43	-0.86	27.86	-0.46	26.51	-0.85	2515		22,970968		30,080645		435.00	
4/1967	24.99	-0.68	26.58	-1.03	28.36	-0.23	26.84	-1.01	2606		23,093333		30,51		495.4	
5/1967	23.90	-0.57	26.75	-0.54	28.67	-0.22	27.43	-0.53	2712		23,367742		30,816129		204.3	
6/1967	22.22	-0.93	26.40	-0.23	28.58	-0.31	27.57	-0.16	2785		23,043333		31,386667		124.4	
7/1967	21.16	-0.89	25.28	-0.54	28.50	-0.34	27.01	-0.30	2749		22,632258		32,087097		34.2	
8/1967	20.11	-1.00	24.31	-0.93	28.31	-0.45	26.49	-0.47	2621		23,074194		33,751613		2.6	
9/1967	19.27	-1.59	23.72	-1.35	28.23	-0.56	25.97	-0.90	2329		23,306667		35,096667		6.7	
10/1967	19.46	-1.71	23.81	-1.30	28.36	-0.41	26.08	-0.75	1764		23,903226		34,296774		11.2	
11/1967	20.07	-1.78	23.97	-1.22	28.35	-0.35	26.15	-0.62	1777		23,696667		32,506667		131.9	
12/1967	21.20	-1.88	24.13	-1.22	28.26	-0.31	25.98	-0.74	1856		23,774194		32,635484		123.1	
1/1968	23.19	-1.52	24.37	-1.43	27.92	-0.43	25.73	-0.98	1976		22,790323		30,46129		282.2	
2/1968	24.92	-1.26	24.93	-1.61	27.80	-0.40	25.70	-1.18	2165		23,251724		30,793103		182.6	
3/1968	25.15	-1.42	25.85	-1.44	27.94	-0.38	26.27	-1.09	2264		22,470968		30,012903		632.8	
4/1968	24.22	-1.46	26.63	-0.98	28.22	-0.37	27.08	-0.77	2426		23,136667		30,463333		302.6	
5/1968	22.86	-1.61	26.25	-1.04	28.34	-0.54	27.31	-0.65	2660		22,487097		29,254839		427.3	
6/1968	21.93	-1.22	26.36	-0.27	28.81	-0.08	27.91	0.18	2685		22,833333		31,06		128.1	
7/1968	21.40	-0.65	25.96	0.14	28.59	-0.25	27.56	0.25	2596		22,477419		31,9		102.5	
8/1968	20.91	-0.20	25.26	0.03	28.60	-0.17	26.98	0.02	2470		23,077419		32,722581		41.9	
9/1968	21.10	0.24	24.96	-0.11	28.60	-0.18	26.75	-0.12	2305		23,266667		31,813333		242.8	
10/1968	20.80	-0.37	25.05	-0.06	28.71	-0.07	26.73	-0.10	2236		23,829032		33,164516		37.5	
11/1968	21.44	-0.41	25.25	0.06	29.03	0.33	27.20	0.42	2128		23,336667		31,403333		265.8	
12/1968	22.99	-0.09	25.71	0.35	29.00	0.42	27.20	0.48	2176		23,364516		31,406452		195.1	
1/1969	24.58	-0.13	26.16	0.36	29.11	0.76	27.40	0.69	2134		23,364516		31,403226		257.7	
2/1969	25.64	-0.53	26.79	0.24	29.11	0.90	27.75	0.88	2260		23,892857		31,628571		195.4	
3/1969	26.97	0.40	27.53	0.24	28.86	0.54	27.87	0.51	2365		23,793548		32,170968		386.6	
4/1969	26.50	0.82	27.84	0.23	28.92	0.33	28.20	0.35	2536		23,756667		31,606667		512.6	
5/1969	25.79	1.31	27.83	0.54	29.06	0.17	28.31	0.35	2715		23,96129		31,603226		321.8	
6/1969	24.13	0.98	26.96	0.33	28.92	0.02	27.90	0.17	2714		23,873333		32,213333		96.9	
7/1969	22.41	0.36	25.84	0.02	28.68	-0.17	27.26	-0.05	2637		22,580645		31,33871		87.6	
8/1969	20.97	-0.13	25.45	0.22	28.78	0.01	27.16	0.20	2421		23,141935		32,751613		51.4	
9/1969	20.83	-0.03	25.43	0.36	29.02	0.23	27.23	0.36	2101		24,336667		34,076667		26.3	
10/1969	21.68	0.52	25.61	0.49	29.18	0.40	27.40	0.57	1829		24,332258		33,432258		81.8	
11/1969	22.32	0.47	25.71	0.52	29.09	0.39	27.21	0.43	1767		24,613333		33,293333		112.4	
12/1969	23.48	0.40	25.95	0.59	28.81	0.23	27.15	0.43	1779		23,7		30,596774		181.7	
1/1970	24.97	0.25	26.19	0.39	28.56	0.21	26.99	0.28	2033		23,322581		30,632258		386.7	
2/1970	25.85	-0.33	26.56	0.02	28.54	0.33	27.12	0.24	2258		23,45		30,589286		326.2	
3/1970	25.58	-0.99	26.94	-0.35	28.46	0.14	27.38	0.02	2455		23,454839		30,251613		382.9	
4/1970	25.04	-0.63	27.25	-0.37	28.72	0.14	27.89	0.04	2619		23,55		29,953333		403.2	
5/1970	23.14	-1.34	26.54	-0.75	28.93	0.04	27.77	-0.19	2769		23,532258		31,03871		184.5	
6/1970	21.55	-1.60	25.40	-1.23	28.82	-0.07	27.15	-0.57	2824		23,22		31,13		132.00	
7/1970	20.02	-2.03	24.04	-1.78	28.72	-0.12	26.40	-0.91	2799		22,9		31,429032		68.4	
8/1970	19.29	-1.81	23.46	-1.77	28.22	-0.54	25.70	-1.27	2660		23,206452		33,054839		42.7	
9/1970	19.38	-1.48	23.75	-1.33	27.91	-0.88	25.71	-1.16	2384		23,223333		32,78		96.2	
10/1970	20.02	-1.15	23.72	-1.40	27.84	-0.93	25.61	-1.22	2110		24,148387		33,825806		98.8	
11/1970	20.60	-1.24	23.76	-1.43	27.81	-0.89	25.62	-1.16	1857		23,156667		31,686667		179.6	
12/1970	21.90	-1.19	24.02	-1.34	27.22	-1.36	25.38	-1.35	1854		23,558065		32,058065		143.4	
1/1971	23.38	-1.33	24.22	-1.57	26.86	-1.49	24.96	-1.75	2030		22,541935		29,522581		287.8	
2/1971	24.71	-1.47	24.92	-1.63	27.05	-1.16	25.34	-1.54	2333		22,496429		29,596429		367.6	
3/1971	25.29	-1.28	26.00	-1.29	27.24	-1.08	26.04	-1.32	2527		23,048387		29,941935		352.4	
4/1971	25.08	-0.60	26.61	-1.01	27.56	-1.03	26.69	-1.16	2716		22,896667		30,09		418.9	
5/1971	23.53	-0.94	26.28	-1.01	27.89	-1.00	27.05	-0.91	2822		22,990323		29,935484		316.4	
6/1971	21.77	-1.38	25.49	-1.14	28.01	-0.88	26.66	-1.07	2895		23,016667		30,506667		146.4	
7/1971	21.10	-0.95	24.81	-1.00	27.84	-1.00	26.31	-1.00	2891		23,241935		31,641935		36.1	
8/1971	19.83	-1.28	24.01	-1.22	27.68	-1.09	25.97	-0.99	2782		23,483871		32,712903		8.5	
9/1971	19.49	-1.37	24.04	-1.03	27.51	-1.27	25.84	-1.03	2566		23,56		33,336667		40.5	
10/1971	19.81	-1.36	23.77	-1.35	27.67	-1.11	25.67	-1.16	2231		23,419355		32,254839		182.3	
11/1971	20.97	-0.88	23.97	-1.22	27.88	-0.82	25.80	-0.97	2132		23,733333		31,57		261.9	
12/1971	21.89	-1.19	23.87	-1.48	27.97	-0.61	25.52	-1.21	2207		23,687097		32,593548		94.3	
1/1972	24.26	-0.46	24.99	-0.81	27.81	-0.54	25.77	-0.94	2191		22,916129		29,793548		197.7	
2/1972	26.57	0.39	25.93	-0.61	27.99	-0.21	26.33	-0.54	2436		22,57931		29,682759		381.7	
3/1972	26.95	0.39	26.94	-0.35	28.22	-0.10	27.13	-0.23	2589		23,174194		30,387097		163.7	
4/1972	26.19	0.52	27.58	-0.04	28.76	0.17	27.89	0.04	2666		23,413333		30,53		341.2	
5/1972	25.12	0.64	27.47	0.18	29.15	0.27	28.28	0.32	2787		23,745161		31,074194		166.8	
6/1972	24.67	1.52	27.16	0.53	29.13	0.23	28.22	0.49	2864		23,573333		31,146667		125.5	
7/1972	23.92	1.87	26.97	1.16	29.00	0.16	28.15	0.84	2833		23,541935		31,819355		73.7	
8/1972	23.33	2.23	26.71	1.48	28.78	0.02	27.98	1.02	2701		23,454839		32,564516		45.7	
9/1972	22.01	1.15	26.34	1.26	28.95	0.17	27.98	1.11	2491		24,093333		33,613333		72.4	
10/1972	22.40	1.23	26.73	1.61	29.15	0.37	28.35	1.52	2205		24,151613		33,606452		94.2	
11/1972	23.00	1.15	27.01	1.82	29.26	0.56	28.58	1.80	2012		24,493333		32,876667		73.8	
12/1972	24.48	1.40	27.32	1.96	29.22	0.65	28.56	1.83	2098		24,241935		32,064516		169.1	
1/1973	25.74	1.02	27.27	1.48	29.01	0.66	28.20	1.49	2234		24,06129		31,429032		192.7	
2/1973	26.29	0.12	27.22	0.68	28.74	0.54	27.92	1.04	2278		24,071429		30,714286		274.7	
3/1973	26.32	-0.25	27.39	0.10	28.49	0.17	27.70	0.34	2391		24,174194		31,167742		291.3	
4/1973	25.12	-0.55	26.95	-0.66	28.45	-0.13	27.54	-0.31	2533		24,123333		31		191.7	
5/1973	23.68	-0.79	26.19	-1.10	28.44	-0.44	27.16	-0.80	2693		23,441935		30,041935		439.9	
6/1973	21.98	-1.17	25.48	-1.15	28.27	-0.63	26.78	-0.95	2819		23,68		31,476667		87.4	
7/1973	20.94	-1.11	24.35	-1.46	28.05	-0.80	25.99	-1.32	2843		23,406452		31,464516		143.3	
8/1973	19.58	-1.53	23.72	-1.51	27.74	-1.02	25.52	-1.44	2769		23,409677		32,422581		108.6	
9/1973	19.50	-1.35	23.52	-1.55	27.56	-1.22	25.20	-1.67	2610		23,396667		32,323333		86.1	
10/1973	19.83	-1.34	23.40	-1.72	27.28	-1.49	24.89	-1.94	2402		23,835484		32,683871		181.8	
11/1973	20.66	-1.19	23.45	-1.74	27.00	-1.70	24.52	-2.26	2163		24,003333		32,336667		308.7	
12/1973	21.91	-1.17	23.65	-1.71	26.71	-1.86	24.57	-2.16	2234		23,183871		30,925806		220.9	
1/1974	23.56	-1.15	24.10	-1.70	26.54	-1.80	24.71	-2.00	2332		23,087097		30,732258		313.1	
2/1974	25.08	-1.09	25.23	-1.31	26.86	-1.34	25.22	-1.66	2431		22,867857		30,167857		196.9	
3/1974	25.81	-0.75	26.30	-0.99	27.25	-1.07	25.94	-1.42	2538		23,090323		30,1		247.5	
4/1974	25.27	-0.41	26.86	-0.75	27.46	-1.13	26.64	-1.21	2657		23,27		30,946667		524.5	
5/1974	24.33	-0.14	26.49	-0.80	27.77	-1.11	26.78	-1.18	2752		22,983871		30,612903		257.8	
6/1974	22.49	-0.66	25.88	-0.75	27.89	-1.01	26.64	-1.09	2815		23,293333		30,64		172.1	
7/1974	21.49	-0.56	25.32	-0.50	27.89	-0.96	26.47	-0.83	2829		22,706452		31,290323		66.00	
8/1974	20.56	-0.55	24.87	-0.36	28.05	-0.72	26.41	-0.55	2756		23,512903		33,13871		26.7	
9/1974	20.16	-0.70	24.46	-0.61	27.83	-0.95	26.25	-0.62	2567		23,243333		32,153333		68.4	
10/1974	19.99	-1.18	24.16	-0.95	27.68	-1.09	25.92	-0.91	2340		24,206452		33,122581		24.4	
11/1974	20.85	-1.00	24.21	-0.98	27.67	-1.04	25.78	-1.00	2234		23,993333		31,973333		194.9	
12/1974	21.66	-1.42	24.40	-0.96	27.58	-0.99	25.81	-0.91	2199		23,280645		30,26129		285.1	
1/1975	23.55	-1.16	25.25	-0.54	27.75	-0.60	26.21	-0.50	2291		23,035484		30,254839		329.5	
2/1975	25.17	-1.01	25.68	-0.86	27.83	-0.38	26.17	-0.71	2428		22,792857		29,7		358.7	
3/1975	26.11	-0.46	26.37	-0.92	27.74	-0.58	26.38	-0.97	2552		22,903333		30,064516		396.1	
4/1975	25.41	-0.26	27.02	-0.59	27.88	-0.71	27.02	-0.83	2684		23,366667		30,086667		232.00	
5/1975	23.66	-0.81	26.33	-0.96	28.08	-0.80	27.06	-0.90	2795		23,129032		30,580645		246.3	
6/1975	22.00	-1.14	25.37	-1.26	27.85	-1.04	26.48	-1.25	2896		22,933333		30,623333		97.8	
7/1975	21.15	-0.90	24.76	-1.05	27.62	-1.23	26.15	-1.16	2896		21,758065		29,774194		203.2	
8/1975	20.11	-1.00	24.17	-1.06	27.32	-1.45	25.54	-1.42	2822		22,919355		32,112903		56.6	
9/1975	19.34	-1.52	23.72	-1.36	26.95	-1.84	25.24	-1.63	2658		23,683333		33,136667		36.4	
10/1975	19.28	-1.89	23.55	-1.57	26.88	-1.89	25.06	-1.77	2324		23,890323		33,483871		55.00	
11/1975	19.63	-2.22	23.73	-1.46	26.90	-1.80	25.19	-1.58	1995		23,933333		32,433333		99.9	
12/1975	21.11	-1.98	23.56	-1.80	26.83	-1.74	24.87	-1.85	2002		23,151613		31,119355		213.6	
1/1976	23.53	-1.19	23.94	-1.86	26.93	-1.42	24.78	-1.93	2211		22,629032		29,325806		294.3	
2/1976	25.43	-0.75	25.32	-1.22	27.21	-1.00	25.57	-1.31	2430		22,551724		30,034483		545.6	
3/1976	26.04	-0.52	26.55	-0.73	27.55	-0.77	26.58	-0.78	2533		22,845161		29,409677		457.4	
4/1976	25.78	0.10	26.92	-0.69	28.06	-0.53	27.06	-0.78	2751		23,356667		29,846667		211.1	
5/1976	24.98	0.51	26.91	-0.38	28.32	-0.56	27.34	-0.62	2895		23,525806		30,829032		90.2	
6/1976	24.21	1.06	26.83	0.20	28.33	-0.56	27.37	-0.36	2954		23,163333		30,973333		61.7	
7/1976	23.33	1.28	26.15	0.33	28.35	-0.49	27.16	-0.15	2917		22,909677		31,774194		32.6	
8/1976	21.90	0.79	25.80	0.57	28.42	-0.35	26.96	-0.00	2755		23,612903		33,345161		37.4	
9/1976	21.56	0.70	25.64	0.56	28.47	-0.31	27.03	0.16	2420		24,463333		34,38		29.5	
10/1976	21.43	0.27	25.88	0.77	28.90	0.13	27.50	0.67	1992		24,609677		33,322581		123.00	
11/1976	22.00	0.15	25.83	0.64	28.86	0.15	27.39	0.61	1838		24,246667		32,513333		157.00	
12/1976	23.32	0.24	25.84	0.48	28.44	-0.14	27.26	0.54	1951		23,874194		31,445161		176.3	
1/1977	24.92	0.20	26.47	0.67	28.29	-0.06	27.37	0.66	2127		23,780645		31,164516		196.7	
2/1977	25.77	-0.41	26.94	0.40	28.13	-0.08	27.22	0.34	2141		22,110714		29,614286		262.4	
3/1977	26.02	-0.55	27.49	0.20	28.22	-0.10	27.56	0.20	2306		22,196774		29,645161		332.1	
4/1977	25.31	-0.36	27.06	-0.55	28.59	0.00	27.64	-0.21	2553		22,596667		29,956667		266.7	
5/1977	23.87	-0.61	27.02	-0.27	28.76	-0.13	27.95	-0.01	2739		22,322581		29,658065		240.3	
6/1977	22.94	-0.21	26.53	-0.10	28.87	-0.02	27.93	0.20	2834		21,833333		30,6		78.4	
7/1977	21.67	-0.38	25.59	-0.23	29.01	0.17	27.51	0.20	2825		22,070968		31,809677		17.4	
8/1977	20.29	-0.82	24.76	-0.47	28.86	0.10	26.91	-0.05	2673		22,351613		33,53871		42.9	
9/1977	19.87	-0.99	24.89	-0.19	29.03	0.25	27.08	0.21	2342		22,536667		33,226667		77.00	
10/1977	20.43	-0.73	25.24	0.13	29.02	0.24	27.32	0.49	2084		22,66129		32,019355		190.8	
11/1977	21.28	-0.57	25.31	0.12	29.00	0.30	27.28	0.51	2162		23,18		32,6		84.7	
12/1977	22.46	-0.63	25.55	0.19	29.00	0.42	27.36	0.64	2233		22,809677		30,632258		227.3	
1/1978	24.45	-0.27	25.87	0.07	28.70	0.35	27.24	0.53	2341		22,616129		30,370968		295.4	
2/1978	25.76	-0.41	26.45	-0.10	28.39	0.18	27.13	0.26	2344		22,939286		30,439286		203.5	
3/1978	25.57	-0.99	26.87	-0.42	28.19	-0.13	27.19	-0.17	2434		22,564516		30,593548		404.1	
4/1978	24.92	-0.75	26.77	-0.84	28.15	-0.43	27.21	-0.64	2563		23,14		30,87		229.4	
5/1978	23.39	-1.08	26.30	-0.99	28.68	-0.20	27.41	-0.55	2724		23,274194		30,812903		268.5	
6/1978	22.11	-1.04	25.77	-0.85	28.54	-0.36	27.15	-0.57	2802		22,57		30,9		89.3	
7/1978	21.14	-0.91	25.07	-0.74	28.36	-0.48	26.77	-0.54	2783		22,26129		30,935484		108.5	
8/1978	19.98	-1.12	24.25	-0.98	28.17	-0.59	26.17	-0.79	2625		21,6		31,66129		50.4	
9/1978	20.00	-0.86	24.30	-0.77	28.30	-0.49	26.12	-0.75	2314		22,65		32,453333		161.00	
10/1978	20.13	-1.03	24.64	-0.47	28.24	-0.53	26.30	-0.53	2055		23,116129		32,712903		115.6	
11/1978	21.68	-0.16	24.88	-0.31	28.39	-0.32	26.42	-0.35	2037		23,403333		32,613333		45.7	
12/1978	22.93	-0.16	25.25	-0.11	28.42	-0.15	26.57	-0.15	2076		22,948387		30,825806		126.00	
1/1979	24.97	0.26	25.39	-0.41	28.38	0.03	26.48	-0.23	2286		22,592593		30,625926		312.00	
2/1979	25.74	-0.43	26.17	-0.37	28.21	0.01	26.59	-0.28	2262		23,080952		30,92381		86.00	
3/1979	26.07	-0.49	27.27	-0.02	28.27	-0.05	27.41	0.05	2306		23,172		30,864		195.4	
4/1979	25.63	-0.05	27.76	0.15	28.51	-0.07	27.93	0.08	2554		23,292308		31,409091		300.2	
5/1979	24.52	0.05	27.34	0.05	28.76	-0.13	27.88	-0.08	2739		22,813636		31,6		78.8	
6/1979	23.29	0.14	26.63	0.00	28.74	-0.15	27.59	-0.13	2812		22,686207		30,641379		65.7	
7/1979	21.92	-0.13	25.66	-0.16	28.67	-0.18	27.05	-0.25	2766						10.3	
8/1979	21.08	-0.03	25.30	0.07	28.49	-0.28	26.85	-0.11	2496						0.00	
9/1979	21.01	0.15	25.60	0.53	28.66	-0.12	27.14	0.27	2105		23,241667		32,75		83.2	
10/1979	21.40	0.23	25.50	0.38	28.73	-0.05	26.92	0.09	1800		23,430769		32,830769		230.1	
11/1979	21.77	-0.08	25.64	0.46	28.91	0.21	27.10	0.33	1813		23,92381		32,909524		48.7	
12/1979	22.81	-0.27	25.73	0.37	28.75	0.17	27.18	0.46	1906		23,133333		31,052381		154.4	
1/1980	24.57	-0.15	26.18	0.38	28.62	0.28	27.15	0.44	2067		22,947368		30,726316		92.5	
2/1980	25.84	-0.34	26.57	0.03	28.51	0.31	27.10	0.22	2108		23,26		32,586667		77.7	
3/1980	26.59	0.03	27.12	-0.17	28.49	0.17	27.38	0.02	2081		23,126923		31,5		217.1	
4/1980	25.73	0.06	27.51	-0.10	28.78	0.20	27.86	0.01	2296		23,004348		31,273913		211.4	
5/1980	24.49	0.02	27.31	0.02	29.16	0.28	28.15	0.19	2479		23,332143		32,053571		53.8	
6/1980	22.96	-0.19	26.83	0.20	29.10	0.21	28.04	0.32	2585		22,796		31,516		79.4	
7/1980	21.20	-0.85	25.71	-0.10	28.97	0.12	27.47	0.16	2555		22,507692		31,769231		23.9	
8/1980	20.66	-0.45	24.98	-0.25	28.56	-0.21	26.74	-0.22	2331		22,726087		32,521739		31.2	
9/1980	20.41	-0.44	24.88	-0.19	28.58	-0.21	26.63	-0.24	1944		23,04		32,9		31.6	
10/1980	20.70	-0.47	24.69	-0.42	28.76	-0.02	26.57	-0.26	1788		22,813636		31,809091		141.1	
11/1980	21.45	-0.40	25.07	-0.12	28.69	-0.02	26.69	-0.09	1963		23,05625		31,49375		149.7	
12/1980	22.49	-0.59	25.34	-0.02	28.51	-0.07	26.81	0.09	2048		23,037037		31,051852		190.2	
1/1981	23.28	-1.44	25.17	-0.63	28.15	-0.19	26.39	-0.32	2073		22,536667		29,95		162.5	
