mom,cheia,nino12,nino3,nino34,nino4,precacum,tmaxmed,tminmed
3/1972,25.89,26.95,26.94,27.13,27.13,163.7,30.387097,23.174194
4/1972,26.66,26.19,27.58,27.89,27.89,341.2,30.53,23.413333
5/1972,27.87,25.12,27.47,28.28,28.28,166.8,31.074194,23.745161
6/1972,28.64,24.67,27.16,28.22,28.22,125.5,31.146667,23.573333
7/1972,28.33,23.92,26.97,28.15,28.15,73.7,31.819355,23.541935
8/1972,27.01,23.33,26.71,27.98,27.98,45.7,32.564516,23.454839
9/1972,24.91,22.01,26.34,27.98,27.98,72.4,33.613333,24.093333
10/1972,22.05,22.4,26.73,28.35,28.35,94.2,33.606452,24.151613
11/1972,20.12,23.0,27.01,28.58,28.58,73.8,32.876667,24.493333
12/1972,20.98,24.48,27.32,28.56,28.56,169.1,32.064516,24.241935
1/1973,22.34,25.74,27.27,28.2,28.2,192.7,31.429032,24.06129
2/1973,22.78,26.29,27.22,27.92,27.92,274.7,30.714286,24.071429
3/1973,23.91,26.32,27.39,27.7,27.7,291.3,31.167742,24.174194
4/1973,25.33,25.12,26.95,27.54,27.54,191.7,31.0,24.123333
5/1973,26.93,23.68,26.19,27.16,27.16,439.9,30.041935,23.441935
6/1973,28.19,21.98,25.48,26.78,26.78,87.4,31.476667,23.68
7/1973,28.43,20.94,24.35,25.99,25.99,143.3,31.464516,23.406452
8/1973,27.69,19.58,23.72,25.52,25.52,108.6,32.422581,23.409677
9/1973,26.1,19.5,23.52,25.2,25.2,86.1,32.323333,23.396667
10/1973,24.02,19.83,23.4,24.89,24.89,181.8,32.683871,23.835484
11/1973,21.63,20.66,23.45,24.52,24.52,308.7,32.336667,24.003333
12/1973,22.34,21.91,23.65,24.57,24.57,220.9,30.925806,23.183871
1/1974,23.32,23.56,24.1,24.71,24.71,313.1,30.732258,23.087097
2/1974,24.31,25.08,25.23,25.22,25.22,196.9,30.167857,22.867857
3/1974,25.38,25.81,26.3,25.94,25.94,247.5,30.1,23.090323
4/1974,26.57,25.27,26.86,26.64,26.64,524.5,30.946667,23.27
5/1974,27.52,24.33,26.49,26.78,26.78,257.8,30.612903,22.983871
6/1974,28.15,22.49,25.88,26.64,26.64,172.1,30.64,23.293333
7/1974,28.29,21.49,25.32,26.47,26.47,66.0,31.290323,22.706452
8/1974,27.56,20.56,24.87,26.41,26.41,26.7,33.13871,23.512903
9/1974,25.67,20.16,24.46,26.25,26.25,68.4,32.153333,23.243333
10/1974,23.4,19.99,24.16,25.92,25.92,24.4,33.122581,24.206452
11/1974,22.34,20.85,24.21,25.78,25.78,194.9,31.973333,23.993333
12/1974,21.99,21.66,24.4,25.81,25.81,285.1,30.26129,23.280645
1/1975,22.91,23.55,25.25,26.21,26.21,329.5,30.254839,23.035484
2/1975,24.28,25.17,25.68,26.17,26.17,358.7,29.7,22.792857
3/1975,25.52,26.11,26.37,26.38,26.38,396.1,30.064516,22.903333
4/1975,26.84,25.41,27.02,27.02,27.02,232.0,30.086667,23.366667
5/1975,27.95,23.66,26.33,27.06,27.06,246.3,30.580645,23.129032
6/1975,28.96,22.0,25.37,26.48,26.48,97.8,30.623333,22.933333
7/1975,28.96,21.15,24.76,26.15,26.15,203.2,29.774194,21.758065
8/1975,28.22,20.11,24.17,25.54,25.54,56.6,32.112903,22.919355
9/1975,26.58,19.34,23.72,25.24,25.24,36.4,33.136667,23.683333
10/1975,23.24,19.28,23.55,25.06,25.06,55.0,33.483871,23.890323
11/1975,19.95,19.63,23.73,25.19,25.19,99.9,32.433333,23.933333
12/1975,20.02,21.11,23.56,24.87,24.87,213.6,31.119355,23.151613
1/1976,22.11,23.53,23.94,24.78,24.78,294.3,29.325806,22.629032
2/1976,24.3,25.43,25.32,25.57,25.57,545.6,30.034483,22.551724
3/1976,25.33,26.04,26.55,26.58,26.58,457.4,29.409677,22.845161
4/1976,27.51,25.78,26.92,27.06,27.06,211.1,29.846667,23.356667
5/1976,28.95,24.98,26.91,27.34,27.34,90.2,30.829032,23.525806
6/1976,29.54,24.21,26.83,27.37,27.37,61.7,30.973333,23.163333
7/1976,29.17,23.33,26.15,27.16,27.16,32.6,31.774194,22.909677
8/1976,27.55,21.9,25.8,26.96,26.96,37.4,33.345161,23.612903
9/1976,24.2,21.56,25.64,27.03,27.03,29.5,34.38,24.463333
10/1976,19.92,21.43,25.88,27.5,27.5,123.0,33.322581,24.609677
11/1976,18.38,22.0,25.83,27.39,27.39,157.0,32.513333,24.246667
12/1976,19.51,23.32,25.84,27.26,27.26,176.3,31.445161,23.874194
1/1977,21.27,24.92,26.47,27.37,27.37,196.7,31.164516,23.780645
2/1977,21.41,25.77,26.94,27.22,27.22,262.4,29.614286,22.110714
3/1977,23.06,26.02,27.49,27.56,27.56,332.1,29.645161,22.196774
4/1977,25.53,25.31,27.06,27.64,27.64,266.7,29.956667,22.596667
